,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
117,2012-05-05,5417.12255971879,2012-05-05,2012-05-06,91.4166666666667,10.7083333333333,9.17916666666667,1007.54166666667,86.375,130.416666666667,2.2916685,0.00729410827462464,0.166666666666667,4.29166666666667,0.0,0.5
118,2012-05-06,5645.66564989369,2012-05-06,2012-05-07,74.4166666666667,10.1666666666667,5.4,1011.0,250.541666666667,92.9166666666667,3.63426216666667,0.00565048947069342,0.0,4.83333333333333,0.0,0.5
119,2012-05-07,6849.26562511176,2012-05-07,2012-05-08,66.7083333333333,12.5833333333333,6.35833333333334,1011.41666666667,289.25,126.666666666667,4.24768858333333,0.00598577973739032,0.958333333333333,2.41666666666667,0.0,1.0
120,2012-05-08,6824.74982135929,2012-05-08,2012-05-09,71.5,12.4166666666667,7.025,1007.83333333333,47.75,192.083333333333,5.02315216666667,0.00637913757599386,0.666666666666667,2.58333333333333,0.0,1.0
121,2012-05-09,6557.75557441637,2012-05-09,2012-05-10,91.5416666666667,15.2916666666667,13.7708333333333,998.291666666667,35.25,198.75,3.63426216666667,0.00997528687678368,3.29166666666667,0.5,0.00112534377481723,1.0
122,2012-05-10,6699.28134609573,2012-05-10,2012-05-11,72.6666666666667,14.25,8.825,990.541666666667,199.75,283.75,5.21991158333333,0.00737483529772997,2.33333333333333,1.375,0.000155564933036698,1.0
123,,,,,,,,,,,,,,,,
124,2012-05-12,5516.22960675694,2012-05-12,2012-05-13,36.0,18.625,1.9375,1010.04166666667,361.916666666667,271.25,4.21296633333333,0.00440670869711099,6.79166666666667,1.125,0.0,0.5
125,2012-05-13,5505.54093979951,2012-05-13,2012-05-14,49.9166666666667,19.4875,8.5625,1010.75,288.125,183.333333333333,3.43750275,0.00694987302051866,7.4875,0.0,0.0,0.5
126,,,,,,,,,,,,,,,,
127,2012-05-15,6610.03867026232,2012-05-15,2012-05-16,78.1666666666667,17.375,13.1666666666667,1010.75,236.166666666667,172.083333333333,4.583337,0.00944191680258436,5.375,0.0833333333333333,0.00064722170325983,1.0
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
